as of 2020-01-28 15:34 SGT,,,,,,,,,,,,,,
source,https://3g.dxy.cn/newh5/view/pneumonia?scene=2&clicktime=1579582238&enterid=1579582238&from=singlemessage&isappinstalled=0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Province,Confirmed,Died,Cured,,City in Hubei,Confirmed,Died,Cured,,Country,Confirmed,Suspected,Died,Cured
Hubei,2714,100,47,,Wuhan,1590,85,45,,China,4578,6973,106,65
Guangdong,188,,4,,Huanggang,213,4,2,,Thailand,14,,,5
Zhejiang,173,,1,,Xiaogan,173,1,,,Singapore,5,,,
Henan,168,1,,,Jinmen,114,3,,,America,5,,,
Hunan,143,,,,Xianning,91,,,,Australia,5,,,
Chongqing,132,,,,Jinzhou,71,2,1,,Japan,4,,,1
Anhui,106,,,,Suizhou,70,,,,South Korea,4,,,
Sichuan,90,,,,Xiangyang,70,,,,Malaysia,3,,,
Shandong,87,,,,Shiyan,65,,,,France,3,,,
Beijing,80,1,2,,Ezhou,57,,,,Vietnam,2,,,
Fujian,73,,,,Huangshi,53,1,,,Nepal,1,,,
Jiangxi,72,,3,,Yichang,51,1,,,Canada,1,,,
Jiangsu,70,,1,,Enshi,38,,,,Cambodia,1,,,
Shanghai,66,1,4,,Xiantao,27,,,,Germany,1,,,
Guangxi,51,,,,Tianmen,23,2,,,Sri Lanka,1,,,
Shanxi,46,,,,Qianjiang,7,1,,,,,,,
Yunan,44,,,,Shenlongjia,1,,,,summary,4628,,106,71
Hainan,40,1,,,,,,,,,,,,
Hebei,33,1,,,summary,2714,100,48,,,,,,
Heilongjiang,30,1,,,,,,,,,,,,
Liaoning,30,,,,,,,,,,,,,
Tianjing,24,,,,,,,,,,,,,
Shanxi,20,,,,,,,,,,,,,
Gansu,19,,,,,,,,,,,,,
Neimenggu,15,,,,,,,,,,,,,
Ningxia,11,,,,,,,,,,,,,
Xinjiang,10,,,,,,,,,,,,,
Guizhou,9,,,,,,,,,,,,,
Jiling,8,,,,,,,,,,,,,
Hong Kong,8,,,,,,,,,,,,,
Macau,7,,,,,,,,,,,,,
Qinghai,6,,,,,,,,,,,,,
Tai Wan,5,,,,,,,,,,,,,
Xizang(Tibet),0,,,,,,,,,,,,,
,,,,,,,,,,,,,,
summary,4578,106,62,,,,,,,,,,,
